Keep,Survey Type,System,role_rganization,years_experience,domain_activity,Python_experience,Cpp_experience,Java_experience,C_experience,C#_experience,NotHandlingExceptions_prevalence,AssumingSafeReturnValue_prevalence,ExcessiveCommunication_prevalence,Clustering_prevalence,Scattering_prevalence,HardCodingLibraries_prevalence,LocalReferences_prevalence,MemoryManagement_prevalence,CachingObjects_prevalence,SecuringLibraries_prevalence,RelativePath_prevalence,ExcessiveObjects_prevalence,UnusedDeclaration_prevalence,UnusedImplementation_prevalence,UnusedParameters_prevalence,NotHandlingExceptions_Expandability,NotHandlingExceptions_Simplicity,NotHandlingExceptions_Reusability,NotHandlingExceptions_Learnability,NotHandlingExceptions_Understandability,NotHandlingExceptions_Modularity,ReturnValue_Expandability,ReturnValue_Simplicity,ReturnValue_Reusability,ReturnValue_Learnability,ReturnValue_Understandability,ReturnValue_Modularity,ExcessiveCommunication_Expandability,ExcessiveCommunication_Simplicity,ExcessiveCommunication_Reusability,ExcessiveCommunication_Learnability,ExcessiveCommunication_Understandability,ExcessiveCommunication_Modularity,Clustering_Expandability,Clustering_Simplicity,Clustering_Reusability,Clustering_Learnability,Clustering_Understandability,Clustering_Modularity,Scattering_Expandability,Scattering_Simplicity,Scattering_Reusability,Scattering_Learnability,Scattering_Understandability,Scattering_Modularity,HardCodingLibraries_Expandability,HardCodingLibraries_Simplicity,HardCodingLibraries_Reusability,HardCodingLibraries_Learnability,HardCodingLibraries_Understandability,HardCodingLibraries_Modularity,LocalReferences_Expandability,LocalReferences_Simplicity,LocalReferences_Reusability,LocalReferences_Learnability,LocalReferences_Understandability,LocalReferences_Modularity,MemoryManagement_Expandability,MemoryManagement_Simplicity,MemoryManagement_Reusability,MemoryManagement_Learnability,MemoryManagement_Understandability,MemoryManagement_Modularity,CachingObjects_Expandability,CachingObjects_Simplicity,CachingObjects_Reusability,CachingObjects_Learnability,CachingObjects_Understandability,CachingObjects_Modularity,SecuringLibraries_Expandability,SecuringLibraries_Simplicity,SecuringLibraries_Reusability,SecuringLibraries_Learnability,SecuringLibraries_Understandability,SecuringLibraries_Modularity,RelativePath_Expandability,RelativePath_Simplicity,RelativePath_Reusability,RelativePath_Learnability,RelativePath_Understandability,RelativePath_Modularity,ExcessiveObjects_Expandability,ExcessiveObjects_Simplicity,ExcessiveObjects_Reusability,ExcessiveObjects_Learnability,ExcessiveObjects_Understandability,ExcessiveObjects_Modularity,UnusedDeclaration_Expandability,UnusedDeclaration_Simplicity,UnusedDeclaration_Reusability,UnusedDeclaration_Learnability,UnusedDeclaration_Understandability,UnusedDeclaration_Modularity,UnusedImplementation_Expandability,UnusedImplementation_Simplicity,UnusedImplementation_Reusability,UnusedImplementation_Learnability,UnusedImplementation_Understandability,UnusedImplementation_Modularity,UnusedParameters_Expandability,UnusedParameters_Simplicity,UnusedParameters_Reusability,UnusedParameters_Learnability,UnusedParameters_Understandability,UnusedParameters_Modularity,NotHandlingExceptions_Ranking,AssumingSafeReturnValue_Ranking,ExcessiveCommunication_Ranking,Clustering_Ranking,Scattering_Ranking,HardCodingLibraries_Ranking,LocalReferences_Ranking,MemoryManagement_Ranking,CachingObjects_Ranking,SecuringLibraries_Ranking,RelativePath_Ranking,ExcessiveObjects_Ranking,UnusedDeclaration_Ranking,UnusedImplementation_Ranking,UnusedParameters_Ranking,Clean 1,Smell1,Smell1_Validation,Smell1_Severity,Smell1_Refactoring,Smell2,Smell2_Validation,Smell2_Severity,Smell2_Refactoring,Smell3,Smell3_Validation,Smell3_Severity,Smell3_Refactoring,Smell4,Smell4_Validation,Smell4_Severity,Smell4_Refactoring,Smell5,Smell5_Validation,Smell5_Severity,Smell5_Refactoring,Smell6,Smell6_Validation,Smell6_Severity,Smell6_Refactoring,Smell7,Smell7_Validation,Smell7_Severity,Smell7_Refactoring,Clean 2,Smell8,Smell8_Validation,Smell8_Severity,Smell8_Refactoring,Smell9,Smell9_Validation,Smell9_Severity,Smell9_Refactoring,Smell10,Smell10_Validation,Smell10_Severity,Smell10_Refactoring,Smell11,Smell11_Validation,Smell11_Severity,Smell11_Refactoring,Smell12,Smell12_Validation,Smell12_Severity,Smell12_Refactoring,Smell13,Smell13_Validation,Smell13_Severity,Smell13_Refactoring,Smell14,Smell14_Validation,Smell14_Severity,Smell14_Refactoring,Smell15,Smell15_Validation,Smell15_Severity,Smell15_Refactoring,Clean 3
Yes,Open_2,None-Open,Software Engineer,More than 10 years,Games,Comfortable,Expert,Expert,Expert,Comfortable,Very often,Often,Rarely,Very often,Often,Rarely,Often,Often,Very often,Often,Rarely,Often,Rarely,Rarely,Rarely,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,15,12,11,10,5,4,13,14,8,6,3,7,1,9,2,No,,,,,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,Yes,No,4 (High),Yes (Refactoring with this solution),,,,,No,No,,,,,,,No,No,No,,,,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,
Yes,Open_2,None-Open,Architect,5-10 Years,"Analytics (Business,IT services, BigData...)",Comfortable,Expert,Comfortable,Expert,Novice,Rarely,Often,Very often,Often,Very often,Rarely,Often,Very often,N/A,Very often,Often,Often,Often,Rarely,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,13,10,11,7,6,12,15,3,9,2,8,4,5,1,No,,,,,Yes,Yes,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,No,1 (Very Low),No (No refactoring),,,,,No,Yes,No,3 (Medium),"Yes (Refactoring with another solution), please specify",,,,,No,No,,,,,,,No,No,,,,,,,Yes,No,3 (Medium),Yes (Refactoring with this solution),,,,,
Yes,Closed,Frostwire,,,,,,,,,Very often,Very often,Very often,Often,Very often,Very often,Very often,Very often,Rarely,Rarely,Rarely,Often,Often,Rarely,Rarely,Negative,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative,10,15,14,12,11,6,9,13,3,7,4,8,1,5,2,No,Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),,,,,Yes,Yes,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,
Yes,Closed,Frostwire,,,,,,,,,Often,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Very often,Very often,Very often,Very often,Rarely,Often,Rarely,Rarely,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Negative,Negative,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,14,13,10,11,7,3,15,9,4,12,1,6,2,5,8,No,,,,,,,,,No,No,,,,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),No
Yes,Closed,Frostwire,,,,,,,,,Very often,Often,Very often,Very often,Often,Often,Often,Very often,Often,Rarely,Often,Often,Often,Often,Rarely,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,15,11,10,14,9,6,12,13,2,7,8,3,4,5,1,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,1 (Very Low),No (No refactoring),,,,,No,,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,
Yes,Closed,OpenDDS,,,,,,,,,Very Often,Rarely,Very often,Very often,Rarely,Often,Rarely,Often,Rarely,Often,Often,Often,Often,Rarely,Often,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,12,15,14,10,2,5,13,11,6,7,1,8,3,9,4,No,No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No
Yes,Closed,OpenDDS,,,,,,,,,Often,Rarely,Very often,Often,Very often,N/A,Very often,Very often,Very often,Often,Rarely,Rarely,Often,Rarely,Rarely,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Positive,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Positive,Negative,Positive,Negative,Negative,Negative,Positive,Neutral,Neutral,Negative,Neutral,Negative,Negative,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,15,12,10,11,14,1,13,9,6,8,4,7,2,5,3,No,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,
Yes,Closed,OpenDDS,,,,,,,,,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,Rarely,Rarely,Often,Often,Rarely,Often,Rarely,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,10,11,15,14,3,5,12,13,2,7,6,8,4,9,1,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,No,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),No (No refactoring),,,,,,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,
Yes,Closed,OpenDDS,,,,,,,,,Often,Very often,Very often,Very often,Very often,Rarely,Often,Very often,Often,Very often,Often,Rarely,Often,Often,Very often,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,15,10,12,8,11,2,13,14,6,7,5,1,4,9,3,No,Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),No (No refactoring),Yes,No,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,1 (Very Low),No (No refactoring),,,,,No,,,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),
Yes,Closed,OpenDDS,,,,,,,,,Rarely,Rarely,Very often,Very often,Often,Often,Often,Very often,N/A,Very often,Very often,Rarely,Often,Rarely,Often,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Positive,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Positive,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,14,13,10,12,4,1,15,11,6,8,3,7,2,5,9,No,No,No,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,,,,,No,,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),No
Yes,Closed,Conscrypt,,,,,,,,,Often,Very often,Very often,Very often,Often,Rarely,Rarely,Often,Very often,Often,Rarely,N/A,N/A,Rarely,Rarely,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Positive,Negative,Neutral,Neutral,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,12,13,9,10,7,3,14,15,11,5,1,6,2,8,4,No,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,,,,,No,,,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,
Yes,Closed,Conscrypt,,,,,,,,,Very often,Often,Rarely,Often,Often,Often,Very often,Very often,N/A,Very often,Often,Often,Rarely,Often,Rarely,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Positive,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,10,13,11,15,7,6,14,12,3,5,2,8,9,4,1,No,Yes,No,4 (High),"Yes (Refactoring with another solution), please specify",,,,,,,,,,,,,Yes,Yes,2 (Low),No (No refactoring),,,,,,,,,No,,,,,,,,,,,,,No,No,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,
Yes,Closed,Conscrypt,,,,,,,,,Very often,Rarely,Very often,Often,Often,Rarely,Often,Often,Rarely,Rarely,Rarely,Often,Often,Rarely,Rarely,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Positive,Neutral,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,15,13,10,11,7,6,14,9,1,12,4,8,2,5,3,No,,,,,Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,4 (High),"Yes (Refactoring with another solution), please specify",,,,,,,,,
Yes,Closed,Conscrypt,,,,,,,,,Often,Rarely,Often,Very often,Very often,Often,Rarely,Very often,Often,Very often,Often,Rarely,Very often,Often,Often,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,13,10,14,12,11,6,9,15,8,4,3,7,1,5,2,No,,,,,No,No,,,Yes,Yes,3 (Medium),No (No refactoring),No,No,,,,,,,,,,,Yes,Yes,4 (High),Yes (Refactoring with this solution),No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,3 (Medium),No (No refactoring),,,,,,,,,
Yes,Closed,Conscrypt,,,,,,,,,Very often,Rarely,Very often,Very often,Often,Rarely,Very often,Rarely,Rarely,Often,Often,Often,Rarely,Often,Rarely,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Negative,Neutral,Negative,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,11,13,9,14,7,5,15,12,6,10,3,1,2,8,4,No,Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,4 (High),Yes (Refactoring with this solution),,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),No,,,,,,,,,,,,,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),,,,,Yes,Yes,3 (Medium),"Yes (Refactoring with another solution), please specify",Yes,Yes,3 (Medium),No (No refactoring),,,,,
Yes,Closed,Conscrypt,,,,,,,,,Very Often,Rarely,Rarely,Rarely,Very often,Often,Rarely,Often,Very often,Often,Often,Very often,Often,Often,Often,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Neutral,Negative,Neutral,Negative,Positive,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Neutral,Negative,Neutral,14,13,15,10,7,5,12,11,6,4,1,8,3,9,2,No,Yes,Yes,2 (Low),No (No refactoring),Yes,Yes,3 (Medium),No (No refactoring),Yes,Yes,4 (High),Yes (Refactoring with this solution),Yes,Yes,4 (High),Yes (Refactoring with this solution),No,No,,,,,,,Yes,No,5 (Very High),"Yes (Refactoring with another solution), please specify",No,,,,,,,,,,,,,Yes,Yes,3 (Medium),Yes (Refactoring with this solution),,,,,,,,,,,,,,,,,
Yes,Closed,Conscrypt,,,,,,,,,Very Often,Rarely,Often,Very often,Often,Rarely,Often,Very often,Rarely,Rarely,Often,Often,Often,Rarely,Rarely,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Negative,15,10,14,11,5,7,9,13,6,12,3,8,2,4,1,No,Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,3 (Medium),Yes (Refactoring with this solution),Yes,Yes,5 (Very High),Yes (Refactoring with this solution),Yes,Yes,2 (Low),No (No refactoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
